epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,322.624,1.3737,0.93551,0.99755,0.21092,0.000237576,0.000237576,0.000237576
2,656.792,0.31583,0.96563,1,0.09744,0.000452035,0.000452035,0.000452035
3,981.524,0.22294,0.98081,1,0.05727,0.000642932,0.000642932,0.000642932
4,1302.14,0.18027,0.98817,1,0.03757,0.000607971,0.000607971,0.000607971
5,1622.63,0.13343,0.99152,0.99978,0.03029,0.000572628,0.000572628,0.000572628
6,1944.21,0.1255,0.99241,1,0.02661,0.000537285,0.000537285,0.000537285
7,2263.85,0.10477,0.99554,0.99978,0.0177,0.000501942,0.000501942,0.000501942
8,2585.6,0.09254,0.99554,0.99978,0.01719,0.000466599,0.000466599,0.000466599
9,2905.42,0.08246,0.99576,1,0.01551,0.000431256,0.000431256,0.000431256
10,3226.88,0.07337,0.99598,1,0.01607,0.000395913,0.000395913,0.000395913
11,3544.75,0.06903,0.99643,1,0.01311,0.00036057,0.00036057,0.00036057
12,3866.55,0.06273,0.99643,1,0.01282,0.000325227,0.000325227,0.000325227
13,4187.1,0.06152,0.99755,1,0.01122,0.000289884,0.000289884,0.000289884
14,4509.84,0.04732,0.9971,1,0.01029,0.000254541,0.000254541,0.000254541
15,4832.34,0.04833,0.99643,1,0.01179,0.000219198,0.000219198,0.000219198
16,5155.36,0.04648,0.9971,1,0.0097,0.000183855,0.000183855,0.000183855
17,5474.46,0.04258,0.99688,1,0.00893,0.000148512,0.000148512,0.000148512
18,5793.67,0.03895,0.99665,1,0.00988,0.000113169,0.000113169,0.000113169
19,6113.57,0.03419,0.9971,1,0.00901,7.7826e-05,7.7826e-05,7.7826e-05
20,6434.58,0.03171,0.9971,1,0.00899,4.2483e-05,4.2483e-05,4.2483e-05
