epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,326.425,1.43041,0.94153,0.99777,0.20046,0.000237576,0.000237576,0.000237576
2,651.443,0.28986,0.97099,0.99911,0.0923,0.000452035,0.000452035,0.000452035
3,975.349,0.2079,0.97902,0.99955,0.06267,0.000642932,0.000642932,0.000642932
4,1301.51,0.15818,0.98482,1,0.0468,0.000607971,0.000607971,0.000607971
5,1627.32,0.12902,0.9846,1,0.04423,0.000572628,0.000572628,0.000572628
6,1952.29,0.10407,0.99308,1,0.02493,0.000537285,0.000537285,0.000537285
7,2275.47,0.10085,0.99397,0.99955,0.01968,0.000501942,0.000501942,0.000501942
8,2600.15,0.08154,0.99554,0.99978,0.01888,0.000466599,0.000466599,0.000466599
9,2923.94,0.07923,0.99576,1,0.01892,0.000431256,0.000431256,0.000431256
10,3246.98,0.05907,0.99576,1,0.01751,0.000395913,0.000395913,0.000395913
11,3569.3,0.06313,0.99598,1,0.01507,0.00036057,0.00036057,0.00036057
12,3892.83,0.05984,0.99688,1,0.01403,0.000325227,0.000325227,0.000325227
13,4216.65,0.0522,0.99643,1,0.01299,0.000289884,0.000289884,0.000289884
14,4538.45,0.04786,0.99732,1,0.01119,0.000254541,0.000254541,0.000254541
15,4861.42,0.04315,0.99688,1,0.01233,0.000219198,0.000219198,0.000219198
16,5185.41,0.04117,0.99755,1,0.01336,0.000183855,0.000183855,0.000183855
17,5509.88,0.03643,0.99755,1,0.0128,0.000148512,0.000148512,0.000148512
18,5835.57,0.03489,0.99688,1,0.01136,0.000113169,0.000113169,0.000113169
19,6159.68,0.02977,0.9971,1,0.01158,7.7826e-05,7.7826e-05,7.7826e-05
20,6486.85,0.02797,0.99732,1,0.01171,4.2483e-05,4.2483e-05,4.2483e-05
